Service Name;Max resource criticality;Min resiurce criticality;Confidentiality;Availability;Integrity;Vulnerable (no money for updates);Internet access;Number of ussers;Portion of users;Highload;General info;Confidential info;Personal data;Domain auth;2FA availability;Support;License presence;Third party access to the resources;Access control possible;Bruteforce available;Admin tool;File share;Active Directory;Web;OS;Thick client;ssh;rdp;web;mount;Number of dependent services;Number of influencing services;Max resource criticality in dependent services;Max resource criticality in influencing services;Number of open ports;Number of projects
Service 37;0,5;0,5;1;0;0;0;0;15;2,23%;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;57
Service 38;0;0;0;0;0;0;1;30;4,45%;2;1;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
Service 39;1;0,5;1;0;1;0;0;212;31,45%;5;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;57
Service 40;0,5;0,5;0;0;0;0;1;83;12,31%;2;1;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
Service 41;1;1;1;1;1;0;0;60;8,90%;2;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;1;2;57
Service 42;0;0;0;0;0;0;0;18;2,67%;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0
Service 43;1;1;1;1;0;0;0;25;3,71%;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;57
Service 44;1;1;1;0;1;0;0;26;3,86%;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;2;57
Service 45;0,5;0,5;1;1;1;0;0;19;2,82%;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;57
Service 46;0,5;0;1;0;1;1;1;154;22,85%;5;1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;12;0
Service 47;0,5;0;1;1;0;0;1;4;0,59%;5;0;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;1;1;0,5;0,5;5;0
Service 48;1;1;1;1;1;0;1;674;100,00%;5;1;1;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;25;1;1;1;10;0
