Users;Department;Position;Local admin privileges;Domain admin privileges;Service admin;Development and admin tools available;OS;AV protection;Posession of data on security and administration;Key business role;Internet access;Confidential information;Science and technology information;Production info;Management info;Financial info;Market info;Price info;Partner info;Security management info;Personal data;ÄÑÏ (rus);24 x 7 working hours;High performance applications;Interactions with external IS;Electronic eternal information exchange;Initial qualification;Number of projects;Project 6;Project 21;Project 27;Project 33;Project 41;Project 44;Project 46;Project 47;Project 49;Project 60
User 35;Department 39;Position 9;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 36;Department 13;Position 74;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 37;Department 48;Position 136;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 38;Department 27;Position 55;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 39;Department 40;Position 61;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 40;Department 40;Position 126;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 41;Department 27;Position 117;0;0;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 42;Department 13;Position 85;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 43;Department 32;Position 237;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;2;0;0;0;0;0;0;0;0;0;0
User 44;Department 3;Position 69;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 45;Department 43;Position 12;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 46;Department 19;Position 33;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 47;Department 12;Position 215;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;admin;0;0;0;0;0;0;0;0;0;0;0
User 48;Department 3;Position 227;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;0;user;0;0;0;0;0;0;0;0;0;0;0
User 49;Department 50;Position 158;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 50;Department 18;Position 140;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;user;1;0;0;0;0;0;1;0;0;0;0
User 51;Department 31;Position 237;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;6;0;1;0;0;1;0;0;0;1;0
User 52;Department 22;Position 87;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 53;Department 22;Position 86;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 54;Department 13;Position 85;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 55;Department 45;Position 115;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 56;Department 45;Position 15;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 57;Department 49;Position 163;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 58;Department 48;Position 137;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 59;Department 17;Position 76;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
